product_id,item,category,price,type
3851,white hanging heart t-light holder,Home Decor,2.55,online
3859,white metal lantern,Home Decor,3.39,online
885,cream cupid hearts coat hanger,"Health, Beauty & Personal Care",2.75,online
1873,knitted union flag hot water bottle,Party and Festive,3.39,online
2871,red woolly hottie white heart.,"Health, Beauty & Personal Care",3.39,online
3085,set 7 babushka nesting boxes,Home Decor,7.65,online
1487,glass star frosted t-light holder,Kitchen and Dining,4.25,online
1609,hand warmer union jack,"Health, Beauty & Personal Care",1.85,online
1606,hand warmer red polka dot,"Health, Beauty & Personal Care",1.85,online
209,assorted colour bird ornament,Home Decor,1.69,online
2702,poppy's playhouse bedroom,Toys and Games,2.1,online
2703,poppy's playhouse kitchen,Toys and Games,2.1,online
1246,feltcraft princess charlotte doll,Toys and Games,3.75,online
1766,ivory knitted mug cosy,Kitchen and Dining,1.65,online
525,box of 6 assorted colour teaspoons,Kitchen and Dining,4.25,online
531,box of vintage jigsaw blocks,Toys and Games,4.95,online
530,box of vintage alphabet blocks,Stationery and Craft,9.95,online
1703,home building block word,Toys and Games,5.95,online
1998,love building block word,Toys and Games,5.95,online
2774,recipe box with metal heart,Home Decor,7.95,online
1058,doormat new england,Home Decor,7.95,online
1795,jam making set with jars,Kitchen and Dining,4.25,online
2793,red coat rack paris fashion,Apparel and Accessories,4.95,online
3991,yellow coat rack paris fashion,Apparel and Accessories,4.95,online
413,blue coat rack paris fashion,Apparel and Accessories,4.95,online
278,bath building block word,Toys and Games,5.95,online
138,alarm clock bakelike pink,Apparel and Accessories,3.75,online
139,alarm clock bakelike red,Home Decor,3.75,online
135,alarm clock bakelike green,Home Decor,3.75,online
2389,panda and bunnies sticker sheet,Kitchen and Dining,0.85,online
3482,stars gift tape,Stationery and Craft,0.65,online
1752,inflatable political globe,Home Decor,0.85,online
3730,vintage heads and tails card game,Toys and Games,1.25,online
3225,set/2 red retrospot tea towels,"Health, Beauty & Personal Care",2.95,online
2990,round snack boxes set of4 woodland,Kitchen and Dining,2.95,online
3446,spaceboy lunch box,Toys and Games,1.95,online
2028,lunch box i love london,Kitchen and Dining,1.95,online
800,circus parade lunch box,Kitchen and Dining,1.95,online
688,charlotte bag dolly girl design,Toys and Games,0.85,online
2867,red toadstool led night light,Garden and Outdoor,1.65,online
3062,set 2 tea towels i love london,"Health, Beauty & Personal Care",2.95,online
3759,vintage seaside jigsaw puzzles,Toys and Games,3.75,online
